,dn0_lo10,dn0_med,dn0_up90,rn0_lo10,rn0_med,rn0_up90,gamman_lo10,gamman_med,gamman_up90,bioassay_mortality,resistance
1,0.284991528,0.340773639,0.405089038,0.582766891,0.637100833,0.679742172,2.64,2.64,2.64,1,0
2,0.284549991,0.339974021,0.404380025,0.583389135,0.637745499,0.680058587,2.630909074,2.634454374,2.63761465,0.99,0.01
3,0.284019949,0.339240486,0.403571294,0.584098335,0.63833613,0.680437922,2.621785307,2.628875832,2.635209928,0.98,0.02
4,0.283506486,0.33864131,0.402392046,0.58513139,0.638818047,0.680804889,2.612627595,2.623266882,2.632785484,0.97,0.03
5,0.282819458,0.337831979,0.401339077,0.586052758,0.639468194,0.681295153,2.603431258,2.617626145,2.630340959,0.96,0.04
6,0.282026923,0.337134116,0.400602899,0.586696333,0.640028079,0.681859563,2.594166596,2.6119532,2.627875982,0.95,0.05
7,0.281132139,0.336430298,0.399587844,0.587582878,0.640592058,0.68249533,2.584834655,2.60624481,2.625390174,0.94,0.06
8,0.280345208,0.335580529,0.398558939,0.588480539,0.641272074,0.683053183,2.575458109,2.600482596,2.622883141,0.93,0.07
9,0.279997885,0.334821593,0.39761225,0.589305605,0.64187855,0.683299016,2.566092336,2.594704483,2.62035448,0.92,0.08
10,0.279646795,0.333971126,0.3967171,0.590085006,0.642557214,0.683547277,2.556585244,2.588921489,2.617803775,0.91,0.09
11,0.279280758,0.332985807,0.395907959,0.590788873,0.643342209,0.68380585,2.547099236,2.583110558,2.615230599,0.9,0.1
12,0.278860493,0.331992779,0.395087954,0.591501551,0.644131955,0.684102384,2.537651279,2.577271362,2.612634509,0.89,0.11
13,0.277833796,0.33106551,0.394079633,0.592377011,0.644868133,0.684825428,2.528174863,2.571403564,2.610018281,0.88,0.12
14,0.276795671,0.330269597,0.393251436,0.593095356,0.645499053,0.685554395,2.518411744,2.565506822,2.607396933,0.87,0.13
15,0.27588681,0.329363341,0.391933995,0.59423666,0.646216323,0.68619083,2.508553095,2.559571068,2.604755043,0.86,0.14
16,0.275059319,0.328600753,0.391088491,0.594968268,0.646818971,0.686768856,2.498676982,2.553594521,2.602092219,0.85,0.15
17,0.274195745,0.327732444,0.390391396,0.595570935,0.647504127,0.687370618,2.48906504,2.547630767,2.599408059,0.84,0.16
18,0.273299152,0.326725996,0.389728108,0.59614392,0.648296903,0.687993781,2.478931233,2.541623244,2.596702146,0.83,0.17
19,0.272447803,0.325825504,0.388661203,0.59706466,0.649004955,0.688584025,2.468712466,2.535576336,2.593974052,0.82,0.18
20,0.27166007,0.324855762,0.387848085,0.597765624,0.649766115,0.689128843,2.458497647,2.529496214,2.591223333,0.81,0.19
