,dn0_lo10,dn0_med,dn0_up90,rn0_lo10,rn0_med,rn0_up90,gamman_lo10,gamman_med,gamman_up90,bioassay_mortality,resistance
1,0.437757397,0.495768797,0.538614874,0.459567302,0.500149482,0.553644898,2.64,2.64,2.64,1,0
2,0.437216453,0.495277702,0.538181239,0.459981575,0.500610072,0.554133809,2.628326592,2.632632349,2.6360053,0.99,0.01
3,0.436664197,0.494896482,0.537773013,0.460371513,0.500967529,0.554632728,2.616519166,2.62516761,2.631953906,0.98,0.02
4,0.436078352,0.494160812,0.53739416,0.460733343,0.501657142,0.555161749,2.604620927,2.617614139,2.627863199,0.97,0.03
5,0.435547492,0.493515051,0.53700188,0.461107943,0.502262273,0.555640912,2.592622919,2.609973954,2.623747437,0.96,0.04
6,0.434811707,0.492746768,0.536601849,0.46148989,0.502981949,0.5563047,2.580547554,2.602235473,2.619595545,0.95,0.05
7,0.434023956,0.492127595,0.53618622,0.461886669,0.503561732,0.557014934,2.568248935,2.594442387,2.615406868,0.94,0.06
8,0.433588975,0.491395631,0.535748291,0.462304671,0.504246905,0.557406911,2.555791188,2.586588707,2.611180733,0.93,0.07
9,0.432431756,0.49048774,0.535301317,0.462731237,0.505096391,0.558449067,2.543166059,2.578608527,2.606916446,0.92,0.08
10,0.431543776,0.48956249,0.534845018,0.463166629,0.5059617,0.55924808,2.530505167,2.57052335,2.602613294,0.91,0.09
11,0.430966558,0.488907488,0.534379104,0.463611119,0.506574013,0.559767149,2.517532461,2.562272135,2.598270543,0.9,0.1
12,0.42995143,0.488192627,0.533903271,0.464064992,0.507242039,0.560679416,2.504430697,2.553946291,2.593887436,0.89,0.11
13,0.429048727,0.487489934,0.533417204,0.464528543,0.507898445,0.561489996,2.491109498,2.545550253,2.589463196,0.88,0.12
14,0.428089332,0.486774976,0.532920573,0.46500208,0.508566054,0.562350808,2.477819667,2.53698964,2.584987722,0.87,0.13
15,0.427248764,0.485858143,0.532413035,0.465485926,0.509421791,0.563104426,2.464633086,2.528308412,2.580228626,0.86,0.14
16,0.426286664,0.484966478,0.531911308,0.465964139,0.510253627,0.563966341,2.451350075,2.51942205,2.575397958,0.85,0.15
17,0.425365417,0.484041784,0.531363791,0.466485893,0.511115846,0.564790987,2.438055459,2.510376223,2.570636554,0.84,0.16
